Fabric Code,Name,Safety Lock,Min Alert Qty,Delivery Days,Per Yard Retail Price,Discontinue,Active,Vendor,UPC
DIS-ID68-FB,"Shoreline Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID7727-FB,"Pearl Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID7806-FB,"Cashmere Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID7906-FB,"Winter Blue Textured Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DIS-ID9-FB,"Maplewood Textured Dupioni Silk Fabric","5","10","10","15.0000","No","Yes","Star","",""
DIS-ID9test-FB,"Maplewood Textured test Dupioni Silk Fabric","5","10","10","25.0000","No","Yes","Sierra","",""
DIS-ID9test2-FB,"Maplewood Textured test2 Dupioni Silk Fabric","2","2","2","2.0000","No","Yes","Sierra","",""
DIS-ID9test3-FB,"Maplewood Textured test3 Dupioni Silk Fabric","3","3","3","3.0000","No","Yes","Sierra","",""
DIS-ID9test4-FB,"Maplewood Textured test3 Dupioni Silk Fabric","3","3","3","3.0000","No","Yes","Sierra","12345678",""
DS-ASST100-FB,"Nob Hill Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-CHX14-FB,"NEW: Oxford Silk Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-CHX4-FB,"NEW: Derby Silk Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-D12012-FB,"Wilmington Taffeta Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-D22012-FB,"Genoa Silk Taffeta Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-D32012-FB,"Windsor Taffeta Silk Stripe Fabric","0","50","0","0.0000","No","Yes","Star","",""
DS-D42012-FB,"Somerset Silk Stripe Fabric","0","50","0","0.0000","No","Yes","Star","",""
DS-DST2-FB,"Cairo Dune Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-DST4-FB,"Cairo Haze Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-DUPST1-FB,"Varadero Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-DXB20-FB,"Sausalito Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-DXB66-FB,"El-Dorado Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-DXB69-FB,"Palm Springs Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-EFCH10A-FB,"Eastwood Silk Taffeta Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-EFCH14-FB,"Newman Silk Taffeta Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-EFCH38-FB,"Knotts Landing Silk Taffeta Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-EMBS20131-FB,"Carliyle Pearl White Thai Silk Fabric","0","50","3","0.0000","No","Yes","Sierra","",""
DS-EMBS201310-FB,"Chai Brown Gold Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201311-FB,"Rowena Gold Dust Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201312-FB,"Toulon Sea Blue Silk Fabric","1","50","0","23.0000","No","Yes","Sierra","",""
DS-EMBS201313-FB,"Cayenne Jamawar Silk Fabric","1","50","0","26.0000","No","No","Sierra","",""
DS-EMBS201314-FB,"Taj Mahal Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201315-FB,"Mirror Pearl White Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201316-FB,"Bellagio Silver Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201317-FB,"Merlot Jamawar Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201319-FB,"Trophy Bold Red Silk Fabric","6","9","10","15.5300","No","Yes","Sierra","",""
DS-EMBS201319-FB45,"test","1","0","0","0.0000","No","No","Star","",""
DS-EMBS20132-FB,"Trophy Sea Blue Thai Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201320-FB,"Borrache Silk Fabric","8","6","15","7.5900","No","Yes","Sierra","785214639872",""
DS-EMBS201321-FB,"Dahlia Silk Fabric","5","0","0","0.0000","No","Yes","Star","",""
DS-EMBS201322-FB,"Olivia Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-EMBS201323-FB,"Rubia Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-EMBS201324-FB,"Sterling Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
DS-EMBS201327-FB,"test","0","50","2","12.0000","No","Yes","Star","",""
DS-EMBS20133-FB,"Cassandra Sage Green Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
DS-EMBS20134-FB,"Baldwin Merlot Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
DS-EMBS20135-FB,"Indria Pearl White Silk Fabric","0","89","0","0.0000","No","Yes","Sierra","",""
DS-EMBS20136-FB,"Istanbul Cayenne Silk Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-EMBS20137-FB,"Chai Silver Thai Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
DS-EMBS20138-FB,"Bombay Bold Red Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
DS-EMBS20140-FB,"Bombay Bold Red Silk Fabric1","2","2","2","2.0000","No","Yes","Sierra","",""
DS-EMBS20141-FB,"Bombay Bold Red Silk Fabric2","3","3","3","3.0000","No","Yes","Sierra","1234567896",""
DS-MDSTK2-FB,"Woodbury Silk Taffeta Stripe Fabric","0","0","0","10.0000","No","Yes","Star","",""
DS-MDSTK5-FB,"Preston Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-MSTK1-FB,"Blue Water Silk Fabric","2","12","4","9.5500","Yes","No","Sierra","",""
DS-MSTK4-FB,"Eureka Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-MSTK5-FB,"Providence Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-PS001-FB,"Cambridge White Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-PS002-FB,"Cambridge Cream Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-PS003-FB,"Cambridge Grey Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SDG6-FB,"Bengali Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SLK02-FB,"Bristol Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SLK136-FB,"Serendipity Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SLK196-FB,"Waterford Gold Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SLK33-FB,"NEW: Sheffield Silk Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SLK50-FB,"Waterford Sienna Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SLK83-FB,"Waterford Sand Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-SSL28-FB,"Toscano Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TF514-FB,"Bellevue Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TF708-FB,"Cyprus Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TF926-FB,"Tulare Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TF940-FB,"Belmont Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TF944-FB,"Pacific Heights Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TF959-FB,"Hawthorne Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TFSN25-FB,"Dallas Silk Taffeta Satin Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TFSN30-FB,"Beverly Hills Silk Taffeta Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TFSN33-FB,"Melrose Silk Taffeta Satin Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TLT17-FB,"Dynasty Silk Taffeta Plaid Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TS001-FB,"Brighton Grey Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
DS-TS002-FB,"Brighton Blue Silk Stripe Fabric","0","0","0","0.0000","No","Yes","Star","",""
EFSCH-20134A-FB,"Romanian Silver Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134B--FB,"Romanian Iridescence Embroidered Faux Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134C-FB,"Romanian Copper Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134D1-FB,"Lyon Crème Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134D2-FB,"Lyon Bronze Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134E1-FB,"St. Tropez Stone Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134E2-FB,"St. Tropez Gold Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134F1-FB,"Greco Ivory Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20134G1-FB,"Chai Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20136A-FB,"Morracco Bronze Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-20136B-FB,"Luxembourg Bronze Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-AL450C1-FB,"Alexandria Gold Faux Taffeta Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-AL450C2-FB,"Alexandria Off White Taffeta Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-AL450C3-FB,"Alexandria Platinum Embroidered Faux Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
EFSCH-AL450C4-FB,"Alexandria Merlot Faux Taffeta Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-PLK850C1-FB,"Zen Garden Black Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-PLK850C2-FB,"Zen Garden Chocolate Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-PLK850C3-FB,"Zen Garden Iridescence Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-PLK850C4-FB,"Zen Garden Harvest Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
EFSCH-PLK850C5-FB,"Zen Garden Tango Embroidered Faux Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-2012201-FB,"Magdelena Golden Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-20122010-FB,"Magdelena Champagne Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-2012204-FB,"Magdelena Gold & Blue Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-2012206-FB,"Magdelena Silver & Blue Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-201263-FB,"Astoria Gold & Bronze Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-201266-FB,"Astoria Taupe & Mushroom Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-201268-FB,"Astoria Red & Bronze Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-201301-FB,"Astoria Black & Pewter Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-201302-FB,"Magdelena Black & Cognac Faux Silk Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB10-FB,"Bjork Creme Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB11-FB,"Espen Citron Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB12A-FB,"Davin Neutral Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB12B-FB,"Davin Grey Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB13A-FB,"Surrey SmokeJacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB13A-FB,"Surrey SmokeJacquard Fabric","0","50","0","0.0000","No","Yes","","",""
JQCH-HANB13B-FB,"Surrey Russet Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB13C-FB,"Surrey Aqua Jacquard Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB13D-FB,"Surrey Ivory Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB1A-FB,"Copenhagen Taupe Jacquard with Organza Overlay Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB1B-FB,"Copenhagen Natural Jacquard with Organza Overlay Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB2-FB,"Safi Silver Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB3A-FB,"Elsa Beige Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB3B-FB,"Elsa Rouge Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB4-FB,"Xena Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB5A-FB,"Borneo Violet Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB5B-FB,"Borneo Blue Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB5C-FB,"Borneo Rust Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB6-FB,"Dahl Multi Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB7-FB,"Zeus Stone Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB8-FB,"Athena Stone Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
JQCH-HANB9-FB,"Flanders Multi Jacquard Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
LN-5000-FB,"Ivoire French Linen Fabric","2","12","4","9.5500","Yes","Yes","Star","123456789258",""
LN-5100-FB,"Hemp French Linen Fabric","0","0","0","0.0000","No","Yes","Star","",""
LN-5175-FB,"Truffle Brown French Linen Fabric","0","0","0","0.0000","No","Yes","Star","",""
LN-5176-FB,"Blanc White French Linen Fabric","0","0","0","0.0000","No","Yes","Star","",""
LN-5177-FB,"Denim Blue French Linen Fabric","0","0","0","0.0000","No","Yes","Star","",""
LN-5178-FB,"Tango Red French Linen Fabric","0","0","0","0.0000","No","Yes","Star","",""
LN-5179-FB,"Carbon Grey French Linen Fabric","0","0","0","0.0000","No","Yes","Star","",""
LN-5520-FB,"Grigio Grey French Linen Fabric","0","0","0","0.0000","No","Yes","Star","",""
PDCH-HANB08-FB,"Marshland Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB10-FB,"Salt and Pepper Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB23-FB,"Poppy Fields Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB35-FB,"Chartreuse Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB44-FB,"Blood Orange Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB46-FB,"Cherrywood Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB52-FB,"Blue Agave Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB56-FB,"Blue Nile Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB57-FB,"Pacific Storm Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB60-FB,"Sable Yarn Dyed Faux Dupioni Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB80-FB,"Parchment Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB81-FB,"Winter Ivory Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB83-FB,"Fiji Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB84-FB,"Thistle Yarn Dyed Faux Dupioni Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
PDCH-HANB85-FB,"Empire Gold Yarn Dyed Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS1-FB,"Ice Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS10-FB,"Sea Glass Vintage Textured Faux Dupioni Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS11-FB,"Smokey Plum Vintage Textured Faux Dupioni Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS12-FB,"Rose Blush Vintage Textured Faux Dupioni Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS13-FB,"Spice Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS14-FB,"Peacock Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS15-FB,"Lunar Blue Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS16-FB,"Burnt Orange Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS17-FB,"Mulberry Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS18-FB,"Provencial Blue Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS2-FB,"Off White Textured Vintage Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS3-FB,"Almond Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS4-FB,"Brut Vintage Textured Faux Dupioni Silk Fabric","0","50","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS5-FB,"Ruby Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS6-FB,"Coffee Bean Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS7-FB,"Storm Grey Textured Vintage Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS8-FB,"Flax Gold Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS9-FB,"Silver Vintage Textured Faux Dupioni Silk Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PDCH-KBS9test-FB,"Silver Vintage Textured test Faux Dupioni Silk Fabric","5","20","10","50.0000","No","Yes","Sierra","",""
PRTW-D01-FB,"Ogee Black Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D02-FB,"Mayan Teal Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D04-FB,"Sahara Desert Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D05-FB,"Allium Blue Gray Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D06A-FB,"Nairobi Desert Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D06B-FB,"Nairobi Denim Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D09-FB,"Bali Red Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D11-FB,"Isles Mustard Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D12-FB,"Impressions Grey Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D13-FB,"Jakarta Khaki Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D15-FB,"Cabana Burgundy Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D16-FB,"Cabana Navy Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D17-FB,"Cabana Black Printed Cotton Fabric","2","2","0","2.0000","No","Yes","Sierra","",""
PRTW-D20-FB,"Medina Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D21-FB,"Palu Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D22-FB,"Sorong Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D23-FB,"Mecca Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D24A-FB,"Ikat Blue Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D24B-FB,"Ikat Black Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D25-FB,"Honeycomb Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
PRTW-D26-FB,"Deuville Printed Cotton Fabric","0","0","0","0.0000","No","Yes","Sierra","",""
