SKU,UPC,Inventory On Hand, Livermore,Atlanta,Safety Lock Qty,Avilable For Channel Sales,Avilable For HPD Website,Hemming Allowed
DIS-ID224-SW,"799665810931","34","34","0","0","34","34","N"
DS-MSTK1,"","0","","","0","0","0","Y"
DS-MSTK1-84,"799418019215","0","0","0","5","0","0","N"
DS-MSTK1-96,"799418019222","0","0","0","5","0","0","N"
DS-MSTK1-108,"799418019239","0","0","0","5","0","0","N"
DS-MSTK1-120,"799418019246","0","0","0","5","0","0","N"
DS-MSTK1-CUS,"799418019260","0","0","0","0","0","0","N"
DS-MSTK1-SW,"799418019253","0","0","0","0","0","0","N"
SS-SBR13,"","-4","","","0","0","0","Y"
SS-SBR13-84,"799665819668","0","0","0","5","0","0","N"
SS-SBR13-96,"799665819675","0","0","0","5","0","0","N"
SS-SBR13-108,"799665819699","0","0","0","5","0","0","N"
SS-SBR13-120,"799665819682","0","0","0","5","0","0","N"
SS-SBR13-CUS,"799665811143","0","0","0","0","0","0","N"
SS-SBR13-SW,"799665811150","0","0","0","0","0","0","Y"
DS-EMBS20138,"","0","","","0","0","0","Y"
DS-EMBS20138-84,"799665821395","0","0","0","5","0","0","N"
DS-EMBS20138-96,"799665821401","0","0","0","5","0","0","N"
DS-EMBS20138-108,"799665821425","0","0","0","5","0","0","N"
DS-EMBS20138-120,"799665821418","0","0","0","5","0","0","N"
DS-EMBS20138-CUS,"799665821432","0","0","0","0","0","0","N"
DS-EMBS20138-SW,"799665821456","33","33","0","0","33","33","N"
DS-EMBS201320,"","0","","","0","0","0","Y"
DS-EMBS201320-84,"799665822354","0","0","0","0","0","0","N"
DS-EMBS201320-96,"799665822361","0","0","0","0","0","0","N"
DS-EMBS201320-108,"799665822385","0","0","0","0","0","0","N"
DS-EMBS201320-120,"799665822378","0","0","0","0","0","0","N"
DS-EMBS201320-CUS,"799665822392","0","0","0","0","0","0","N"
DS-EMBS201320-SW,"799665822415","35","35","0","0","35","35","N"
VCCH-VET1201,"","434","","","0","0","0","Y"
VCCH-VET1201-84,"610395227298","58","58","0","5","415","415","N"
VCCH-VET1201-96,"610395227304","93","93","0","5","362","362","N"
VCCH-VET1201-108,"610395227311","201","201","0","5","274","274","N"
VCCH-VET1201-120,"610395227328","83","83","0","5","78","78","N"
VCCH-VET1201-CUS,"799665830274","0","0","0","0","0","0","N"
SS-SBN11,"","0","","","0","0","0","N"
SS-SBN11-84,"799665820084","0","0","0","0","0","0","N"
SS-SBN11-96,"799665820091","0","0","0","0","0","0","N"
SS-SBN11-108,"799665820114","0","0","0","0","0","0","N"
SS-SBN11-120,"799665820107","0","0","0","0","0","0","N"
SS-SBN11-CUS,"799665811280","0","0","0","0","0","0","N"
SS-SBN11-SW,"799665811297","0","0","0","0","0","0","N"
PTSCH-42012,"","288","","","0","0","0","Y"
PTSCH-42012-84,"610395222439","0","0","0","5","253","253","N"
PTSCH-42012-96,"610395222446","87","87","0","10","258","258","N"
PTSCH-42012-108,"610395222453","143","143","0","10","181","181","N"
PTSCH-42012-120,"610395222460","58","58","0","10","48","48","N"
PTSCH-42012-CUS,"799665815608","0","0","0","0","0","0","N"
PTSCH-42012-SW,"799665815615","35","35","0","0","35","35","N"
SSRW-LF954,"","0","","","0","0","0","Y"
SSRW-LF954-84,"799665811921","0","0","0","0","0","0","N"
SSRW-LF954-96,"799665811938","0","0","0","0","0","0","N"
SSRW-LF954-108,"799665811907","0","0","0","0","0","0","N"
SSRW-LF954-120,"799665811914","0","0","0","0","0","0","N"
SSRW-LF954-CUS,"799665811945","0","0","0","0","0","0","N"
SSRW-LF954-SW,"799665811952","32","32","0","0","32","32","N"
DS-DST2,"","0","","","0","0","0","Y"
DS-DST2-84,"799665817497","0","0","0","5","0","0","N"
DS-DST2-96,"799665817503","0","0","0","5","0","0","N"
DS-DST2-108,"799665817527","0","0","0","5","0","0","N"
DS-DST2-120,"799665817510","0","0","0","5","0","0","N"
DS-DST2-CUS,"799665817534","0","0","0","0","0","0","N"
DS-DST2-SW,"799665816544","33","33","0","0","33","33","N"
DS-DST4,"","0","","","0","0","0","Y"
DS-DST4-84,"799665817435","0","0","0","5","0","0","N"
DS-DST4-96,"799665817442","0","0","0","5","0","0","N"
DS-DST4-108,"799665817466","0","0","0","5","0","0","N"
DS-DST4-120,"799665817459","0","0","0","5","0","0","N"
DS-DST4-CUS,"799665817473","0","0","0","0","0","0","N"
DS-DST4-SW,"799665816568","35","35","0","0","35","35","N"
SSRW-LF935,"","0","","","0","0","0","Y"
SSRW-LF935-84,"799665811686","0","0","0","0","0","0","N"
SSRW-LF935-96,"799665811693","0","0","0","0","0","0","N"
SSRW-LF935-108,"799665811662","0","0","0","0","0","0","N"
SSRW-LF935-120,"799665811679","0","0","0","0","0","0","N"
SSRW-LF935-CUS,"799665811709","0","0","0","0","0","0","N"
SSRW-LF935-SW,"799665811716","30","30","0","0","30","30","N"
BOCH-PL1604,"","167","","","0","0","0","N"
BOCH-PL1604-84,"799665829292","26","0","26","0","26","26","N"
BOCH-PL1604-96,"799665829308","95","0","95","0","95","95","N"
BOCH-PL1604-108,"799665829322","0","0","0","0","0","0","N"
BOCH-PL1604-120,"799665829315","46","0","46","0","46","46","N"
BOCH-PL1604-CUS,"799665829339","0","0","0","0","0","0","N"
PTSCH-SLK218,"","424","","","0","0","0","Y"
PTSCH-SLK218-84,"610395223306","64","64","0","5","389","389","N"
PTSCH-SLK218-96,"610395223313","153","153","0","10","330","330","N"
PTSCH-SLK218-108,"610395223320","127","127","0","10","187","187","N"
PTSCH-SLK218-120,"610395223337","80","80","0","10","70","70","N"
PTSCH-SLK218-CUS,"799665824938","0","0","0","0","0","0","N"
PTSCH-SLK218-SW,"799665824952","33","33","0","0","33","33","N"
DS-EMBS20131,"","0","","","0","0","0","Y"
DS-EMBS20131-84,"799665820831","0","0","0","5","0","0","N"
DS-EMBS20131-96,"799665820848","0","0","0","5","0","0","N"
DS-EMBS20131-108,"799665820862","0","0","0","5","0","0","N"
DS-EMBS20131-120,"799665820855","0","0","0","5","0","0","N"
SS-SPW28-CUS,"799665811341","0","0","0","0","0","0","N"
DS-EMBS20131-SW,"799665820893","35","35","0","0","35","35","N"
DIS-ID7806,"","274","","","0","0","0","Y"
DIS-ID7806-84,"797734449976","62","62","0","0","274","274","N"
DIS-ID7806-96,"797734449983","104","104","0","0","212","212","N"
DIS-ID7806-108,"797734449990","68","68","0","0","108","108","N"
DIS-ID7806-120,"797734450002","40","40","0","0","40","40","N"
DIS-ID7806-CUS,"799665811068","0","0","0","0","0","0","N"
DIS-ID7806-SW,"799665811075","32","32","0","0","32","32","N"
DS-EMBS20133,"","0","","","0","0","0","Y"
DS-EMBS20133-84,"799665820992","0","0","0","0","0","0","N"
DS-EMBS20133-96,"799665821005","0","0","0","0","0","0","N"
DS-EMBS20133-108,"799665821029","0","0","0","0","0","0","N"
DS-EMBS20133-120,"799665821012","0","0","0","0","0","0","N"
DS-EMBS20133-CUS,"799665821036","0","0","0","0","0","0","N"
DS-EMBS20133-SW,"799665821050","34","34","0","0","34","34","N"
DS-EMBS20139-SW,"799665821531","102","102","0","0","102","102","N"
PTSCH-11087,"","0","","","0","0","0","Y"
PTSCH-11087-84,"610395223429","0","0","0","5","0","0","N"
PTSCH-11087-96,"610395223436","0","0","0","10","0","0","N"
PTSCH-11087-108,"610395223443","0","0","0","10","0","0","N"
PTSCH-11087-120,"610395223450","0","0","0","10","0","0","N"
PTSCH-11087-CUS,"799665815684","0","0","0","0","0","0","N"
PTSCH-11087-SW,"799665815691","34","34","0","0","34","34","N"
DS-EMBS201313,"","0","","","0","0","0","Y"
DS-EMBS201313-84,"799665821791","0","0","0","5","0","0","N"
DS-EMBS201313-96,"799665821807","0","0","0","5","0","0","N"
DS-EMBS201313-108,"799665821821","0","0","0","5","0","0","N"
DS-EMBS201313-120,"799665821814","0","0","0","5","0","0","N"
DS-EMBS201313-CUS,"799665821838","0","0","0","0","0","0","N"
DS-EMBS201313-SW,"799665821852","35","35","0","0","35","35","N"
SS-SCY22,"799665819620","0","0","0","0","0","0","N"
DS-EMBS201310,"","0","","","0","0","0","Y"
DS-EMBS201310-84,"799665821555","0","0","0","5","0","0","N"
DS-EMBS201310-96,"799665821562","0","0","0","5","0","0","N"
DS-EMBS201310-108,"799665821586","0","0","0","5","0","0","N"
DS-EMBS201310-120,"799665821579","0","0","0","5","0","0","N"
DS-EMBS201310-CUS,"799665821593","0","0","0","0","0","0","N"
DS-EMBS201310-SW,"799665821616","35","35","0","0","35","35","N"
EFSCH-20134G1,"","174","","","0","0","0","Y"
EFSCH-20134G1-84,"799418014685","0","0","0","5","159","159","N"
EFSCH-20134G1-96,"799418014692","106","106","0","5","164","164","N"
EFSCH-20134G1-108,"797734458497","68","68","0","5","63","63","N"
EFSCH-20134G1-120,"799418014715","0","0","0","5","0","0","N"
EFSCH-20134G1-CUS,"799418014739","0","0","0","0","0","0","N"
EFSCH-20134G1-SW,"799418014722","93","93","0","0","93","93","N"
DS-EMBS20137-SW,"799665821371","27","27","0","0","27","27","N"
SSTF-6,"","0","","","0","0","0","N"
SSTF-6-84,"610395233619","0","0","0","0","0","0","N"
SSTF-6-96,"610395233626","0","0","0","0","0","0","N"
SSTF-6-108,"610395233633","0","0","0","0","0","0","N"
SSTF-6-120,"610395233640","0","0","0","0","0","0","N"
SSTF-6-CUS,"797734448979","0","0","0","0","0","0","N"
SSTF-6-SW,"797734448986","27","27","0","0","27","27","N"
DIS-ID112,"","0","","","0","0","0","Y"
DIS-ID112-84,"797734450255","0","0","0","5","0","0","N"
DIS-ID112-96,"797734450262","0","0","0","5","0","0","N"
DIS-ID112-108,"797734450279","0","0","0","5","0","0","N"
DIS-ID112-120,"797734450286","0","0","0","10","0","0","N"
DIS-ID112-CUS,"797734449051","0","0","0","0","0","0","N"
DIS-ID112-SW,"797734449068","33","33","0","0","33","33","N"
SS-SCB01,"","0","","","0","0","0","Y"
SS-SCB01-84,"799665820145","0","0","0","5","0","0","N"
SS-SCB01-96,"799665820152","0","0","0","5","0","0","N"
SS-SCB01-108,"799665820176","0","0","0","5","0","0","N"
SS-SCB01-120,"799665820169","0","0","0","5","0","0","N"
SS-SCB01-CUS,"799665811303","0","0","0","0","0","0","N"
SS-SCB01-SW,"799665811310","31","31","0","0","31","31","N"
DIS-ID124,"","109","","","0","0","0","Y"
DIS-ID124-84,"797734449815","39","0","39","5","94","94","N"
DIS-ID124-96,"797734449822","38","0","38","5","60","60","N"
DIS-ID124-108,"797734449839","0","0","0","5","22","22","N"
DIS-ID124-120,"797734449846","32","0","32","5","27","27","N"
DIS-ID124-CUS,"797734449075","0","0","0","0","0","0","N"
DIS-ID124-SW,"797734449082","34","34","0","0","34","34","N"
SSRW-LF952,"","0","","","0","0","0","Y"
SSRW-LF952-84,"799665811808","0","0","0","5","0","0","N"
SSRW-LF952-96,"799665811815","0","0","0","5","0","0","N"
SSRW-LF952-108,"799665811785","0","0","0","5","0","0","N"
SSRW-LF952-120,"799665811792","0","0","0","5","0","0","N"
SSRW-LF952-CUS,"799665811822","0","0","0","0","0","0","N"
SSRW-LF952-SW,"799665811839","34","34","0","0","34","34","N"
SSTF-8,"","-1","","","0","0","0","N"
SSTF-8-84,"610395233695","0","0","0","0","0","0","N"
SSTF-8-96,"610395233701","0","0","0","0","0","0","N"
SSTF-8-108,"610395233718","0","0","0","0","0","0","N"
SSTF-8-120,"610395233725","0","0","0","0","0","0","N"
SSTF-8-CUS,"797734449013","0","0","0","0","0","0","N"
SSTF-8-SW,"797734449020","34","34","0","0","34","34","N"
SSRW-LF959,"","0","","","0","0","0","Y"
SSRW-LF959-84,"799665812041","0","0","0","5","0","0","N"
SSRW-LF959-96,"799665812058","0","0","0","5","0","0","N"
SSRW-LF959-108,"799665812027","0","0","0","5","0","0","N"
SSRW-LF959-120,"799665812034","0","0","0","5","0","0","N"
SSRW-LF959-CUS,"799665812065","0","0","0","0","0","0","N"
SSRW-LF959-SW,"799665812072","35","35","0","0","35","35","N"
SSTF-2,"","0","","","0","0","0","N"
SSTF-2-84,"610395233817","0","0","0","0","0","0","N"
SSTF-2-96,"610395233824","0","0","0","0","0","0","N"
SSTF-2-108,"610395233831","0","0","0","0","0","0","N"
SSTF-2-120,"610395233848","0","0","0","0","0","0","N"
SSTF-2-CUS,"797734448917","0","0","0","0","0","0","N"
SSTF-2-SW,"797734448924","34","34","0","0","34","34","N"
PTSCH-11093,"","548","","","0","0","0","Y"
PTSCH-11093-84,"797734451788","53","53","0","5","513","513","N"
PTSCH-11093-96,"797734451795","286","286","0","10","465","465","N"
PTSCH-11093-108,"797734451801","116","116","0","10","189","189","N"
PTSCH-11093-120,"797734451818","93","93","0","10","83","83","N"
PTSCH-11093-CUS,"799665815745","0","0","0","0","0","0","N"
PTSCH-11093-SW,"799665815752","149","149","0","0","149","149","N"
DS-TF708,"","0","","","0","0","0","Y"
DS-TF708-84,"799665817190","0","0","0","5","0","0","N"
DS-TF708-96,"799665817206","0","0","0","5","0","0","N"
DS-TF708-108,"799665817220","0","0","0","5","0","0","N"
DS-TF708-120,"799665817213","0","0","0","5","0","0","N"
DS-TF708-CUS,"799665817237","0","0","0","0","0","0","N"
DS-TF708-SW,"799665816827","33","33","0","0","33","33","N"
DS-EMBS201321,"","-1","","","0","0","0","Y"
DS-EMBS201321-84,"799665822439","0","0","0","0","0","0","N"
DS-EMBS201321-96,"799665822446","0","0","0","0","0","0","N"
DS-EMBS201321-108,"799665822460","0","0","0","0","0","0","N"
DS-EMBS201321-120,"799665822453","0","0","0","0","0","0","N"
DS-EMBS201321-CUS,"799665822477","0","0","0","0","0","0","N"
DS-EMBS201321-SW,"799665822491","34","34","0","0","34","34","N"
DS-TFSN25,"","0","","","0","0","0","Y"
DS-TFSN25-84,"799665817732","0","0","0","5","0","0","N"
DS-TFSN25-96,"799665817749","0","0","0","5","0","0","N"
DS-TFSN25-108,"799665817763","0","0","0","5","0","0","N"
DS-TFSN25-120,"799665817756","0","0","0","5","0","0","N"
DS-TFSN25-CUS,"799665817770","0","0","0","0","0","0","N"
DS-TFSN25-SW,"799665816926","35","35","0","0","35","35","N"
SSTF-3,"","0","","","0","0","0","N"
SSTF-3-84,"799665819385","0","0","0","0","0","0","N"
SSTF-3-96,"799665819392","0","0","0","0","0","0","N"
SSTF-3-108,"799665819415","0","0","0","0","0","0","N"
SSTF-3-120,"799665819408","0","0","0","0","0","0","N"
SSTF-3-CUS,"799665819422","0","0","0","0","0","0","N"
SSTF-3-SW,"799665819446","33","33","0","0","33","33","N"
DS-TLT17-SW,"799665816988","35","35","0","0","35","35","N"
DS-EFCH10A-SW,"799665817008","0","0","0","0","0","0","N"
DS-DXB66,"","0","","","0","0","0","Y"
DS-DXB66-84,"799665817794","0","0","0","5","0","0","N"
DS-DXB66-96,"799665817800","0","0","0","5","0","0","N"
DS-DXB66-108,"799665817824","0","0","0","5","0","0","N"
DS-DXB66-120,"799665817817","0","0","0","5","0","0","N"
DS-DXB66-CUS,"799665817831","0","0","0","0","0","0","N"
DS-DXB66-SW,"799665816629","33","33","0","0","33","33","N"
DS-MSTK4,"","-1","","","0","0","0","Y"
DS-MSTK4-84,"799665817077","0","0","0","5","0","0","N"
DS-MSTK4-96,"799665817084","0","0","0","5","0","0","N"
DS-MSTK4-108,"799665817107","0","0","0","5","0","0","N"
DS-MSTK4-120,"799665817091","0","0","0","5","0","0","N"
DS-MSTK4-CUS,"799665817114","0","0","0","0","0","0","N"
DS-MSTK4-SW,"799665816704","0","0","0","0","0","0","N"
PTFFLK-C23A,"","415","","","0","0","0","Y"
PTFFLK-C23A-84,"799418011998","67","0","67","20","340","340","N"
PTFFLK-C23A-96,"799418012001","123","0","123","20","293","293","N"
PTFFLK-C23A-108,"799418012018","165","0","165","20","190","190","N"
PTFFLK-C23A-120,"799418012025","65","0","65","20","45","45","N"
PTFFLK-C23A-CUS,"799418012049","0","0","0","0","0","0","N"
PTFFLK-C23A-SW,"799418012032","28","28","0","0","28","28","N"
PTFFLK-C23B,"","0","","","0","0","0","N"
PTFFLK-C23B-84,"799418012063","0","0","0","5","0","0","N"
PTFFLK-C23B-96,"799418012070","0","0","0","5","0","0","N"
PTFFLK-C23B-108,"799418012087","0","0","0","5","0","0","N"
PTFFLK-C23B-120,"799418012094","0","0","0","5","0","0","N"
PTFFLK-C23B-CUS,"799418012117","0","0","0","0","0","0","N"
PTFFLK-C23B-SW,"799418012100","35","35","0","0","35","35","N"
PTFFLK-C5,"","323","","","0","0","0","Y"
PTFFLK-C5-84,"610395230656","48","0","48","20","244","244","N"
PTFFLK-C5-96,"610395230663","99","0","99","20","216","216","N"
PTFFLK-C5-108,"610395230632","119","0","119","20","137","137","N"
PTFFLK-C5-120,"610395230649","58","0","58","20","38","38","N"
