SKU,Discontinue,ID
"PDCH-KBS14","Test by karan","testtt"
"DIS-ID7727","Test by karan","testtt"
"PRTW-D30","Test by karan","testtt"
"BOCH-KC91B","Test by karan","testtt"
"PTFFLK-C21B","Test by karan","testtt"
"PTFFLK-C21A","Test by karan","testtt"
"BOCH-KC8","Test by karan","testtt"
"PTCH-JTSP112","Test by karan","testtt"
"CZCH-CTZ1","Test by karan","testtt"
"CZCH-CTZ1-GR","Test by karan","testtt"
"PTFFLK-C26","Test by karan","testtt"
"BOCH-KC28","Test by karan","testtt"
"PTSCH-11089","Test by karan","testtt"
"PTSCH-11083","Test by karan","testtt"
"PTFFLK-C2","Test by karan","testtt"
"DIS-ID37","Test by karan","testtt"
"PTSCH-11095","Test by karan","testtt"
"PTCH-JTSP5","Test by karan","testtt"
"PTSCH-13401","Test by karan","testtt"
"PDCH-KBS5","Test by karan","testtt"
"CZCH-CTZ9","Test by karan","testtt"
"CZCH-CTZ9-GR","Test by karan","testtt"
"PTSCH-32012","Test by karan","testtt"
"BOCH-KC20","Test by karan","testtt"
"BOCH-KC32","Test by karan","testtt"
"BOCH-KC32","Test by karan","testtt"
"BOCH-KC32","Test by karan","testtt"
"BOCH-KC25","Test by karan","testtt"
"BOCH-KC21","Test by karan","testtt"
"DIS-ID68","Test by karan","testtt"
"VPCH-VET1211","Test by karan","testtt"
"VPCH-VET1212","Test by karan","testtt"
"VPCH-192018","Test by karan","testtt"
"VPCH-VET1216","Test by karan","testtt"
"VPCH-192315","Test by karan","testtt"
"VPCH-193810","Test by karan","testtt"
"VPCH-190622","Test by karan","testtt"
"VPCH601","Test by karan","testtt"
"VPCH-VET1217","Test by karan","testtt"
"VPCH-190912","Test by karan","testtt"
"VPCH-VET1214","Test by karan","testtt"
"VPCH-194023","Test by karan","testtt"
"VPCH-VET1215","Test by karan","testtt"
"VPCH-184005","Test by karan","testtt"
"VPCH-110602","Test by karan","testtt"
"VPCH-145002","Test by karan","testtt"
"VPCH-VET1213","Test by karan","testtt"
"VPCH-194007","Test by karan","testtt"
"VPCH-141113","Test by karan","testtt"
"PDCH-KBS9","Test by karan","testtt"
"PDCH-KBS11","Test by karan","testtt"
"PRTW-D22","Test by karan","testtt"
"BOCH-KC1","Test by karan","testtt"
"DIS-ID20","Test by karan","testtt"
"SSTF-5","Test by karan","testtt"
"PTFFLK-C25","Test by karan","testtt"
"PRTW-D29B","Test by karan","testtt"
"PRTW-D29A","Test by karan","testtt"
"BOCH-KC23","Test by karan","testtt"
"FHLCH-YL3008","Test by karan","testtt"
"FHLCH-YL3010B","Test by karan","testtt"
"BOCH-KC33","Test by karan","testtt"
"SHFLNCH-M013","Test by karan","testtt"
"CZCH-CTZ6","Test by karan","testtt"
"CZCH-CTZ6-GR","Test by karan","testtt"
"CZCH-CTZ2","Test by karan","testtt"
"CZCH-CTZ2-GR","Test by karan","testtt"
"PTSCH-11082","Test by karan","testtt"
"PTCH-JTSP29","Test by karan","testtt"
"SHFLNCH-M011","Test by karan","testtt"
"DIS-ID7906","Test by karan","testtt"
"PTCH-JTSP207","Test by karan","testtt"
"PTCH-JTSP204","Test by karan","testtt"
"BOCH-KC34C","Test by karan","testtt"
"JQCH-HANB4","Test by karan","testtt"
"JQCH-HANB6","Test by karan","testtt"
"JQCH-HANB13D","Test by karan","testtt"

