SKU,Available
"DIS-ID9","Yes"
"PRTW-D28","Yes"
"BOCH-KC6","Yes"
"BOCH-201303","Yes"
"BOCH-201303-GR","Yes"
"PTSCH-12012","Yes"
"PRTW-D23","Yes"
"PRTW-D20","No"
"PTCH-JTSP003","Yes"
"PTSCH-11100","Yes"
"PTSCH-52012","Yes"
"DIS-ID50","Yes"
"PTCH-JTSP27","No"
"DIS-ID221","No"
"BOCH-174402","No"
"BOCH-174402-GR","No"
"SHFLNCH-M015","Yes"
"PDCH-KBS2","Yes"
"VCCH-VET1207","No"
"PTSCH-11098","Yes"
"PTSCH-13402","No"
"PRTW-D21","No"
"PRTW-D27","No"
"PTCH-JTSP87","Yes"
"PTFFLK-C30","Yes"
"PTSCH-13400","Yes"
"PTFFLK-C22B","No"
"PTFFLK-C22A","Yes"
"PDCH-KBS14","Yes"
"DIS-ID7727","Yes"
"PRTW-D30","No"
"BOCH-KC91B","Yes"
"PTFFLK-C21B","Yes"
"PTFFLK-C21A","Yes"
"BOCH-KC8","No"
"PTCH-JTSP112","No"
"CZCH-CTZ1","Yes"
"CZCH-CTZ1-GR","No"
"PTFFLK-C26","Yes"
"BOCH-KC28","No"
"PTSCH-11089","Yes"
"PTSCH-11083","Yes"
"PTFFLK-C2","Yes"
"DIS-ID37","Yes"
"PTSCH-11095","Yes"
"PTCH-JTSP5","No"
"PTSCH-13401","Yes"
"PDCH-KBS5","Yes"
"CZCH-CTZ9","No"
"CZCH-CTZ9-GR","No"
"PTSCH-32012","Yes"
"BOCH-KC20","No"
"BOCH-KC32","Yes"
"BOCH-KC32","No"
"BOCH-KC32","Yes"
"BOCH-KC25","Yes"
"BOCH-KC21","Yes"
"DIS-ID68","No"
"VPCH-VET1211","Yes"
"VPCH-VET1212","Yes"
"VPCH-192018","No"
"VPCH-VET1216","Yes"
"VPCH-192315","Yes"
"VPCH-193810","No"
"VPCH-190622","No"
"VPCH601","No"
"VPCH601-SW","Yes"
"VPCH-VET1217","Yes"
"VPCH-190912","Yes"
"VPCH-VET1214","Yes"
"VPCH-194023","No"
"VPCH-VET1215","Yes"
"VPCH-184005","Yes"
"VPCH-110602","Yes"
"VPCH-145002","Yes"
"VPCH-VET1213","Yes"
"VPCH-194007","Yes"
"VPCH-141113","No"
"PDCH-KBS9","Yes"
"PDCH-KBS11","No"
"PRTW-D22","No"
"BOCH-KC1","Yes"
"DIS-ID20","Yes"
"SSTF-5","No"
"PTFFLK-C25","Yes"
"PRTW-D29B","No"
"PRTW-D29A","No"
"BOCH-KC23","No"
"FHLCH-YL3008","Yes"
"FHLCH-YL3010B","Yes"
"BOCH-KC33","Yes"
"SHFLNCH-M013","No"
"CZCH-CTZ6","No"
"CZCH-CTZ6-GR","No"
"CZCH-CTZ2","No"
"CZCH-CTZ2-GR","No"
"PTSCH-11082","No"
"PTCH-JTSP29","No"
"SHFLNCH-M011","No"
"DIS-ID7906","Yes"
"PTCH-JTSP207","No"
"PTCH-JTSP204","No"
"BOCH-KC34C","Yes"
"JQCH-HANB4","Yes"
"JQCH-HANB6","No"
"JQCH-HANB13D","Yes"
"VPCH-120601-SW","Yes"
"VPCH-120601-SW","Yes"
"BOCH-120601-SW","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","No"
"","No"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","No"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
"","Yes"
